tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,nama_unit,kode_barang,part_number,nama_barang,qty,satuan,biaya,group_desc,class_desc,subclass_desc
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,WHEEL & TYRE SYSTEM,ARM ROLL ISUZU NPS 81 272-002,370601-000216-0041,48116-750,BAN DALAM 7.50 * 16,1.0,Pcs,173728.81,Suku Cadang Umum,Suku Cadang Umum,Ban
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,WHEEL & TYRE SYSTEM,ARM ROLL ISUZU NPS 81 272-002,370601-000216-0122,48216-750R,BAN LUAR 7.50 * 16 RIMBA,1.0,Pcs,2100000.0,Suku Cadang Umum,Suku Cadang Umum,Ban
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,DIFFENTTIAL & REAR AXLE SYSTEM,ARM ROLL HINO 136 HDX 272-005,350201-000200-0040,,GEAR OIL RORED HDA-140,8.0,Ltr,294840.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,ARM ROLL HINO 136 HDX 272-005,340307-040207-0017,23304JAF70,ELEMENT FILTER,1.0,PCS,39162.99,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,ARM ROLL HINO 136 HDX 272-005,340307-050207-0001,15601-78140,"FILTER SUB-ASSY, OIL",1.0,PCS,110000.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,ARM ROLL HINO 136 HDX 272-005,340307-050207-0005,23304-78440,ELEMENT ASSY. FUEL FILTER,1.0,PCS,73427.63,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,ARM ROLL HINO 136 HDX 272-005,340307-050207-0006,23304-78451,ELEMENT SUB-ASSY. FUEL FILTER,1.0,PCS,80667.13,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,ARM ROLL HINO 136 HDX 272-005,350201-000200-0024,,ENGINE OIL 15W-40,10.0,LTR,323000.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,TRANSMISSION SYSTEM,ARM ROLL HINO 136 HDX 272-005,350201-000200-0041,,GEAR OIL RORED HDA-90,10.0,Ltr,347290.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,DIFFENTTIAL & REAR AXLE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,350201-000200-0041,,GEAR OIL RORED HDA-90,15.0,Ltr,520935.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,330217-010207-0002,HH166-4356-0,ELEMENT FUEL FILTER,1.0,PCS,406000.0,Tractor,Tractor,Kubota
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,330217-010207-0003,HH1C0-3243-0,CARTRIDGE OIL FILTER,1.0,PCS,311058.82,Tractor,Tractor,Kubota
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,330217-010207-0004,HHTA0-3771-0,CARTRIDGE OIL FILTER,2.0,PCS,1038000.0,Tractor,Tractor,Kubota
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,350201-000200-0024,,ENGINE OIL 15W-40,15.0,LTR,484500.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,TRANSMISSION SYSTEM,FARM TRACTOR KUBOTA M9540 321-007,350201-000200-0028,,ENGINE OIL MEDITRAN S SAE 30,80.0,LTR,2262160.8,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,TRANSMISSION SYSTEM,CARWLER DUMPER PD5000TA 322-013,340330-010314-0002,31230-36150,BEARING RELEASE,1.0,PCS,451525.0,Truck /Bus,Truck /Bus,Toyota
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,TRANSMISSION SYSTEM,CRAWLER DUMPER PD5000TA 322-016,340330-010314-0002,31230-36150,BEARING RELEASE,1.0,PCS,451525.0,Truck /Bus,Truck /Bus,Toyota
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,CRAWLER DUMPER PD-5000 TA 322-019,350201-000200-0024,,ENGINE OIL 15W-40,10.0,LTR,323000.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ELECTRICAL SYSTEM,EXCAVATOR HITACHI ZX138 M-F 332-042,340501-000300-0075,,BATTERY 12V-70A,1.0,PCS,912161.26,Umum Kendaraan,Umum Kendaraan,Umum Kendaraan
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ELECTRICAL SYSTEM,BULLDOZER KOMATSU D31P-20 341-001,340501-000300-0046,60201-20100,BATTERY 12V-100A,2.0,Pcs,2455176.0,Umum Kendaraan,Umum Kendaraan,Umum Kendaraan
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,GRADER XCMG GR-100 351-012,330439-020207-0010,803190291,AIR FILTER,1.0,SET,774255.56,Motor Grader,Motor Grader,XCMG
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,GRADER XCMG GR-100 351-012,350201-000200-0024,,ENGINE OIL 15W-40,5.0,LTR,161500.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,POMPA MITSUBISHI 6D14 422-007,350201-000200-0024,,ENGINE OIL 15W-40,15.0,LTR,484500.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,ELECTRICAL SYSTEM,DUMP TRUCK HINO FM 260 JD 312-021,340307-050306-0036,82291-EW010,WIRE TO SOLENOID,1.0,PCS,241980.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 260 JD 312-021,340307-050307-0130,SH552-10825,BOLT,4.0,PCS,467680.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,BRAKE SYSTEM,DUMP TRUCK HINO FM 260 JD 312-022,340307-040304-0011,SN351-11013,CONNECTOR I,1.0,PCS,356680.0,Truck /Bus,Truck /Bus,Hino
