id_unit,kode_unit,nama_unit,nilai_asset,lokasi,bulan,bulan_no,kategori,prestasi_realisasi,prestasi_budget,pendapatan_realisasi,pendapatan_budget,upah_realisasi,upah_budget,qty_bbm_realisasi,qty_bbm_budget,harga_bbm_realisasi,harga_bbm_budget,biaya_bbm_realisasi,biaya_bbm_budget,maintenance_realisasi,maintenance_budget,penyusutan_realisasi,penyusutan_budget,lainnya_realisasi,lainnya_budget,biaya_langsung_realisasi,biaya_langsung_budget,biaya_tidak_langsung_realisasi,biaya_tidak_langsung_budget,total_biaya_realisasi,total_biaya_budget
261009,261-009,TRUCK TANGKI HINO 130 HD DA 9458 CI/DA 8012 CM 261-009,251772728,SUNGAI DANAU,Apr,4,TR,0.0,2039.6726660340205,0,29017568.525273994,0.0,6968587.42,0,0,0.0,14485.060800000001,0.0,6422778.821652367,0.0,3575121.4595833328,0.0,0.0,0.0,796943.148261997,0.0,17763430.849497695,0.0,4347963.238071268,0.0,22111394.08756896
261010,261-010,TRUCK TANGKI HINO 130 HD DA 9460 CI/DA 8987 CI 261-010,251772728,SUNGAI DANAU,Apr,4,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261011,261-011,TRUCK TANGKI HINO 130 HD DA 8606 CL 261-011,272724200,SUNGAI DANAU,Apr,4,TR,1201.0,2039.6726660340205,28985740,29017568.525273994,4629466.0,6968587.42,261,0,23298.01,14485.060800000001,6080780.61,6422778.821652367,6533776.33,3332787.95117436,2840877.08,2840877.078125,875000.0,808634.2457915129,20959900.02,20373665.51674324,2686321.94,4347963.238071268,23646221.96,24721628.754814506
261012,261-012,TRUCK TANGKI HINO 130 HD DA 8607 CL 261-012,273058794,SUNGAI DANAU,Apr,4,TR,1109.0,2039.6726660340205,28633242,29017568.525273994,4707554.0,6968587.42,213,0,23298.01,14485.060800000001,4962476.13,6422778.821652367,7976060.36,2324009.934,2844362.43,2844362.4322916665,875000.0,622968.4826442016,21365452.92,19182707.090588234,2653653.36,4347963.238071268,24019106.28,23530670.328659505
261013,261-013,TRUCK TANGKI HINO 130 HD DA 8597 CN 261-013,292654546,SUNGAI DANAU,Apr,4,TR,1309.0,2039.6726660340205,27676924,29017568.525273994,4505667.0,6968587.42,226,0,23298.01,14485.060800000001,5265350.26,6422778.821652367,5548854.71,2324009.934,3048484.85,3048484.8489583335,607036.96,693115.0678212967,18975393.78,19456976.092431996,2565024.33,4347963.238071268,21540418.11,23804939.330503263
261014,261-014,TRUCK TANGKI HINO 130 HD DA 8598 CN 261-014,292654546,SUNGAI DANAU,Apr,4,TR,1115.0,2039.6726660340205,28307146,29017568.525273994,4710785.0,6968587.42,196,0,23298.01,14485.060800000001,4566409.96,6422778.821652367,5125366.69,2324009.934,3323484.85,3048484.8489583335,575000.0,693115.0678212967,18301046.5,19456976.092431996,2623431.64,4347963.238071268,20924478.14,23804939.330503263
261015,261-015,TRUCK TANGKI HINO 130 HD DA 8587 CQ 261-015,0,SUNGAI DANAU,Apr,4,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261016,261-016,TRUCK TANGKI HINO 130 HD DA 8234 CM 261-016,0,SUNGAI DANAU,Apr,4,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261017,261-017,TRUCK TANGKI HINO 130 HD DA 8027 CF 261-017,0,SUNGAI DANAU,Apr,4,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261019,261-019,TRUCK TANGKI HINO 130 HD DA 8137 CK 261-019,271454545,SUNGAI DANAU,Apr,4,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262003,262-003,TRUCK TANGKI HINO 130 HD DA 8569 CP 262-003,634129138,SUNGAI DANAU,Apr,4,TR,1211.0,2651.5744658442263,46160298,29017568.525273994,4881919.0,6968587.42,295,0,23298.01,14485.060800000001,6872912.95,10668949.264855875,2209998.93,2842797.01145976,6605511.85,6605511.854166667,875000.0,631319.2665938558,21445342.73,27717164.817076158,4278014.69,4347963.238071268,25723357.42,32065128.055147424
262004,262-004,TRUCK TANGKI HINO 130 HD DA 8567 CP 262-004,634129138,SUNGAI DANAU,Apr,4,TR,1143.0,2651.5744658442263,50947892,29017568.525273994,5062357.0,6968587.42,507,0,23298.01,14485.060800000001,11812091.07,10668949.264855875,10998123.62,2706259.8114597597,7386761.85,7386761.854166667,875000.0,631319.2665938558,36134333.54,28361877.61707616,4721716.27,4347963.238071268,40856049.81,32709840.85514743
262005,262-005,TRUCK TANGKI HINO FG235 DA 8170 CR 262-005,634129137,SUNGAI DANAU,Apr,4,TR,1055.0,2651.5744658442263,47441614,29017568.525273994,5083008.0,6968587.42,463,0,23298.01,14485.060800000001,10786978.63,10668949.264855875,2868709.28,2706259.8114597597,6605511.84,6605511.84375,3949400.0,631319.2665938558,29293607.75,27580627.60665949,4396763.68,4347963.238071268,33690371.43,31928590.844730757
262006,262-006,TRUCK TANGKI HINO FG 235 DA 8171 CR 262-006,634129137,SUNGAI DANAU,Apr,4,TR,1157.0,2651.5744658442263,53321298,29017568.525273994,5368498.0,6968587.42,234,0,23298.01,14485.060800000001,5451734.34,10668949.264855875,4697270.13,2672238.41270976,6605511.84,6605511.84375,4249400.0,631319.2665938558,26372414.31,27546606.20790949,4941677.28,4347963.238071268,31314091.59,31894569.445980757
262007,262-007,TRUCK TANGKI HINO FG 235 DA 8342 JD 262-007,742644909,SUNGAI DANAU,Apr,4,TR,1060.0,2651.5744658442263,52126368,29017568.525273994,5237356.0,6968587.42,259,0,23298.01,14485.060800000001,6034184.59,10668949.264855875,652749.58,2706259.8114597597,7735884.47,7735884.46875,575000.0,561172.6814167608,20235174.64,28640853.646482397,4830934.32,4347963.238071268,25066108.96,32988816.884553663
262008,262-008,TRUCK TANGKI HINO FG 235 DA 8343 JD 262-008,742644909,SUNGAI DANAU,Apr,4,TR,1236.0,2651.5744658442263,58852628,29017568.525273994,5367030.0,6968587.42,369,0,23298.01,14485.060800000001,8596965.69,10668949.264855875,13761967.46,2707843.3614597595,7735884.47,7735884.46875,575000.0,561172.6814167608,36036847.62,28642437.196482394,5454306.36,4347963.238071268,41491153.98,32990400.43455366
262009,262-009,TRUCK TANGKI HINO FG 235 JK DA 8110 JI 262-009,735353097,SUNGAI DANAU,Apr,4,TR,1195.0,2651.5744658442263,59177498,29017568.525273994,5599935.0,6968587.42,422,0,23298.01,14485.060800000001,9831760.22,10668949.264855875,3047316.48,3178468.993751711,8534928.09,8534928.088958334,575000.0,561172.6814167608,27588939.79,29912106.448982682,5484414.46,4347963.238071268,33073354.25,34260069.68705395
262010,262-010,TRUCK TANGKI HINO FM 260 DA 8112 JI 262-010,735353097,SUNGAI DANAU,Apr,4,TR,1229.0,2651.5744658442263,59376732,29017568.525273994,5766379.0,6968587.42,279,0,23298.01,14485.060800000001,6500144.79,10668949.264855875,2245842.09,3149447.096951711,8534928.09,8534928.088958334,575000.0,539460.6431476598,23622293.97,29861372.51391358,5502878.94,4347963.238071268,29125172.91,34209335.75198485
262011,262-011,TRUCK TANGKI HINO FG260JK DA 8381 GB 262-011,869854319,SUNGAI DANAU,Apr,4,TR,1204.0,2651.5744658442263,45501704,29017568.525273994,5114948.0,6968587.42,296,0,23298.01,14485.060800000001,6896210.96,10668949.264855875,691672.77,3134519.3286896404,24162619.98,9060982.4934375,2017100.0,1205151.7406771758,38882551.71,31038190.247660186,4216977.93,4347963.238071268,43099529.64,35386153.48573145
271001,271-001,ARM ROLL HINO 130 HD DA 8590 CQ 271-001,444295945,SUNGAI DANAU,Apr,4,TR,1150.0,744.2677112142858,16115814,22595993.113573026,4175370.0,6968587.42,277,0,23298.01,14485.060800000001,6453548.77,2566848.344860898,1240154.54,2194529.553416666,4628082.76,4628082.760416667,1115000.0,429647.83420970745,17612156.07,16787695.91290394,1493571.14,4347963.238071268,19105727.21,21135659.150975205
271002,271-002,ARM ROLL HINO 130 HD DA 8589 CQ 271-002,450156856,SUNGAI DANAU,Apr,4,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271003,271-003,ARM ROLL HINO 130 HD DA 8508 JG 271-003,502363636,SUNGAI DANAU,Apr,4,TR,1904.0,744.2677112142858,29892787,22595993.113573026,4919042.0,6968587.42,504,0,23298.01,14485.060800000001,11742197.04,2566848.344860898,239466.6,2185203.22475,5770667.63,5770667.635416667,440000.0,429647.83420970745,23111373.27,17920954.459237274,2770384.67,4347963.238071268,25881757.94,22268917.69730854
271004,271-004,ARM ROLL HINO 130 HD DA 8337 JJ 271-004,537470252,SUNGAI DANAU,Apr,4,TR,1206.0,744.2677112142858,18416184,22595993.113573026,4515121.0,6968587.42,316,0,23298.01,14485.060800000001,7362171.16,2566848.344860898,1824208.1,2185203.22475,5598648.46,5598648.458333333,492018.87,429647.83420970745,19792167.59,17748935.282153938,1706763.37,4347963.238071268,21498930.96,22096898.520225205
213003,213-003,HYUNDAI IONIQ 5N,1309550000,SUNGAI DANAU,Apr,4,TR,0.0,1851.3642393934888,60000000,60000000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13641145.83,13641146.0,1359215.0,997250.0,15000360.83,14638396.0,5560641.77,4347963.238071268,20561002.6,18986359.23807127
211002,211-002,JEEP WRANGLER RUBICON B 2603 BJG 211-002,1810630631,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211003,211-003,JEEP GLADIATOR RUBICON DC 3.6 DA 8047 JJ 211-003,2100900901,SUNGAI DANAU,May,5,TR,0.0,2224.063754924651,90000000,90000000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21884384.39,22447121.89,512917.0,1852908.3333333333,22397301.39,24300030.223333333,8097235.57,4128412.920791455,30494536.96,28428443.144124787
211004,211-004,HYUNDAI PALISADE  S. AWD B 1356 HKS 211-004,1045840085,SUNGAI DANAU,May,5,TR,0.0,2224.063754924651,50000000,50000000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10894167.55,11886537.360000001,992369.81,997250.0,11886537.36,12883787.360000001,4498464.21,4128412.920791455,16385001.57,17012200.280791458
211005,211-005,LEXUS RX450 SONIC CROME B 666 LUC 211-005,1751173656,SUNGAI DANAU,May,5,TR,0.0,2224.063754924651,80000000,80000000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18241392.25,19869527.67,1628135.42,997250.0,19869527.67,20866777.67,7197542.73,4128412.920791455,27067070.4,24995190.590791456
211010,211-010,SUBARU FORESTER 2.01-S 211-010,596564102,SUNGAI DANAU,May,5,TR,0.0,2224.063754924651,27000000,27000000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3000000.0,6214209.4,4740625.0,777750.0,458333.3333333333,6991959.4,8198958.333333333,2429170.67,4128412.920791455,9421130.07,12327371.254124789
211011,211-011,SUBARU FORESTER  ADV2.01-S 211-011,551564102,SUNGAI DANAU,May,5,TR,0.0,2224.063754924651,27000000,27000000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3000000.0,5745459.4,4740625.0,541025.0,458333.3333333333,6286484.4,8198958.333333333,2429170.67,4128412.920791455,8715655.07,12327371.254124789
222016,222-016,MITSUBISHI TRITON DA 8827 JK 222-016,455100000,SUNGAI DANAU,May,5,TR,0.0,2224.063754924651,27000000,27000000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3872940.0,0.0,4740625.0,4740625.0,635518.75,997250.0,9249083.75,5737875.0,2429170.67,4128412.920791455,11678254.42,9866287.920791455
231001,231-001,BUS HINO 130 MDBL DA 9577 CL/ DA 7219 CD 231-001,583909091,SUNGAI DANAU,May,5,TR,909.0,2224.063754924651,39937380,40265600.0,6252470.0,6981087.42,0,0,0.0,14485.060800000001,0.0,0.0,4881409.46,2861372.315,0.0,0.0,67119.01,800080.4109183594,11200998.47,10642540.145918358,3593137.49,4128412.920791455,14794135.96,14770953.066709813
231002,231-002,BUS HINO 130 MDBL DA 9592 CL/ DA 7223 CD 231-002,583909091,SUNGAI DANAU,May,5,TR,511.0,3067.2423835946665,39937380,40265600.0,5149490.0,6981087.42,0,0,0.0,14485.060800000001,0.0,0.0,0.0,2866035.4793333337,0.0,0.0,65204.14,800080.4109183594,5214694.14,10647203.310251692,3593137.49,4128412.920791455,8807831.63,14775616.231043147
231003,231-003,BUS ISUZU MINI BUS F 7120 AB/DA 7026 TAJ 231-003,460145600,SUNGAI DANAU,May,5,TR,63.0,2224.063754924651,31040270,31295300.0,5953940.0,6981087.42,0,0,0.0,14485.060800000001,0.0,0.0,950761.27,2861372.315,4793183.33,4793183.333333333,725000.0,800080.4109183594,12422884.6,15435723.47925169,2792670.87,4128412.920791455,15215555.47,19564136.400043145
231004,231-004,BUS HINO 130 MDBL DA 7445 CD 231-004,708789027,SUNGAI DANAU,May,5,TR,1195.0,2224.063754924651,39937380,40265600.0,6335550.0,6981087.42,0,0,0.0,14485.060800000001,0.0,0.0,190000.0,1853524.768833333,7383219.03,7383219.03125,4389403.89,481888.79402820667,18298172.92,16699720.01411154,3593137.49,4128412.920791455,21891310.41,20828132.934902996
231005,231-005,BUS HINO 130 MDBL DA 8705 CO 231-005,913515450,SUNGAI DANAU,May,5,TR,1649.0,2224.063754924651,39937380,40265600.0,5608490.0,6981087.42,0,0,0.0,14485.060800000001,0.0,0.0,152813.82,1807841.42292236,25375429.17,25375429.166666668,725000.0,481888.79402820667,31861732.99,34646246.80361724,3593137.49,4128412.920791455,35454870.48,38774659.72440869
241008,241-008,TRUCK HINO 130 HD DA 8587 CQ 241-008,317045945,SUNGAI DANAU,May,5,TR,0.0,1500.0,65085725,20000000.0,0.0,6981087.42,0,0,0.0,14485.060800000001,8300000.0,0.0,0.0,2490533.8021723595,3616811.93,3616811.9270833335,1285000.0,238852.8657900226,13201811.93,13327286.015045715,5855716.08,4128412.920791455,19057528.01,17455698.935837172
242004,242-004,TRUCK HINO 136 HDX 242-004,522000000,SUNGAI DANAU,May,5,TR,1365.0,2224.063754924651,22514620,22699600.0,6203390.0,4744407.42,0,0,0.0,14485.060800000001,0.0,0.0,927876.27,1161281.18513232,14500000.0,14500000.0,47137.09,683102.8657900225,21678403.36,21088791.470922343,2025624.24,4128412.920791455,23704027.6,25217204.391713798
242005,242-005,TRUCK HINO 136 HDX 242-005,522900000,SUNGAI DANAU,May,5,TR,572.0,2224.063754924651,22514620,22699600.0,4709820.0,4744407.42,0,0,0.0,14485.060800000001,0.0,0.0,0.0,957754.9050073201,14525000.0,14525000.0,0.0,444250.0,19234820.0,20671412.32500732,2025624.24,4128412.920791455,21260444.24,24799825.245798774
251001,251-001,DUMP TRUCK HINO 130 HD DA 9881 AW 251-001,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251002,251-002,DUMP TRUCK HINO 130 HD DA 9660 AY 251-002,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251003,251-003,DUMP TRUCK HINO 130 HD DA 9661 AY 251-003,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
