lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
KUMAI,Aug,2026-08-07,641104127200432 135,272-004,272004,ARM ROLL HINO 136 HDX 272-004,Arm Roll,TR,WS-PERBAIKAN UNIT,272-004 LANJUT PASANG U BOLT,2.0
KUMAI,Aug,2026-08-07,641104132202032 145,322-020,322020,CRAWLER DUMPER PD-5000 TA 322-020,Crawler,AB,WS-PERBAIKAN UNIT,322-020 PROGRES VANBELT TRASMISI,1.5
KUMAI,Aug,2026-08-07,641104127200232 135,272-002,272002,ARM ROLL ISUZU NPS 81 272-002,Arm Roll,TR,WS-PERBAIKAN UNIT,272-002 FINISHING PROGRES SUSPENSI,5.0
KUMAI,Aug,2026-08-07,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 RUNNING UNIT PONTON,3.5
KUMAI,Aug,2026-08-07,641104133205331 075,332-053,332053,EXCAVATOR HITACHI ZX 210G-5G 332-053,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-053 SERVICE BERKALA UNIT,7.0
KUMAI,Aug,2026-08-07,641104125400832 055,254-008,254008,DUMP TRUCK HINO 130 HD 4X4 254-008,DT Hino,TR,WS-PERBAIKAN UNIT,254-008 LANJUT MODIFIKASI MANUAL,5.0
KUMAI,Aug,2026-08-07,641104132201132 075,322-011,322011,CRAWLER DUMPER PD5000TA 322-011,Crawler,AB,WS-PERBAIKAN UNIT,322-011 CEK UNIT OVER HEAD,6.0
KUMAI,Aug,2026-08-07,661204000000095 080,,,,,,WS-PERBAIKAN UNIT,1-RUNNING ENGINE PONTON,2.0
KUMAI,Aug,2026-08-07,641104142200332 075,422-003,,,,,WS-PERBAIKAN UNIT,422-003 TES RUNNING UNIT PONTON,4.0
KUMAI,Aug,2026-08-07,641104125400932 075,254-009,254009,DUMP TRUCK ISUZU NKR 71  B 9853 BDG 254-009,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-009 CLEANING FLUSH TANGKI MINYAK,5.0
KUMAI,Aug,2026-08-07,641104127200532 115,272-005,272005,ARM ROLL HINO 136 HDX 272-005,Arm Roll,TR,WS-PERBAIKAN UNIT,272-005 LEPAS POMPA HYD,3.0
KUMAI,Aug,2026-08-07,641104127200232 115,272-002,272002,ARM ROLL ISUZU NPS 81 272-002,Arm Roll,TR,WS-PERBAIKAN UNIT,272-002 PASANG POMPA HYD,3.0
KUMAI,Aug,2026-08-08,641104136101231 075,361-012,361012,BACKHOE LOADER CATERPILLAR 416 F 361-012,TLB,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,361-012 SERVICE BERKALA UNIT,1.5
KUMAI,Aug,2026-08-08,641104133205731 075,332-057,332057,EXCAVATOR HITACHI ZX 210 332-057,Excavator All in,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-057 SERVICE BERKALA UNIT,9.0
KUMAI,Aug,2026-08-08,641104125400632 075,254-006,254006,DUMP TRUCK ISUZU NPS 81 254-006,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-006 ADJUSTER UNIT LOW POWER,12.0
KUMAI,Aug,2026-08-08,641104132203032 075,322-030,322030,CRAWLER DUMPER PD-5000 322-030,Crawler,AB,WS-PERBAIKAN UNIT,322-030 PENGETAPAN OLI ENGINE,3.0
KUMAI,Aug,2026-08-08,641104125105832 135,251-058,251058,DUMP TRUCK HINO 130HD 251-058,DT Hino,TR,WS-PERBAIKAN UNIT,251-058 GANTI STUD BOLT PATAH,8.0
KUMAI,Aug,2026-08-08,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 RUNNING UNIT PONTON,10.0
KUMAI,Aug,2026-08-08,641104127100232 115,271-002,271002,ARM ROLL HINO 130 HD DA 8589 CQ 271-002,Arm Roll,TR,WS-PERBAIKAN UNIT,271-002 INSTAL PUMP INJEKTOR,4.0
KUMAI,Aug,2026-08-08,641104132201631 075,322-016,322016,CRAWLER DUMPER PD5000TA 322-016,Crawler,AB,WS-PERBAIKAN UNIT,322-016 SERVICE BERKALA UNIT,5.0
KUMAI,Aug,2026-08-08,641104133204232 075,332-042,332042,EXCAVATOR HITACHI ZX138 M-F 332-042,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-042 PELRPASAN HOSE RADIRTOR,5.0
KUMAI,Aug,2026-08-08,641104127200432 115,272-004,272004,ARM ROLL HINO 136 HDX 272-004,Arm Roll,TR,WS-PERBAIKAN UNIT,272-004 LEPAS PUMP HYD,4.0
KUMAI,Aug,2026-08-08,641104142200232 075,422-002,,,,,WS-PERBAIKAN UNIT,422-002 RUNNING UNIT PONTON,10.0
KUMAI,Aug,2026-08-08,641104125400532 055,254-005,254005,DUMP TRUCK ISUZU NPS 81 254-005,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-005 PEMBONGKARAN HUB,3.0
KUMAI,Aug,2026-08-08,641104133205432 035,332-054,332054,EXCAVATOR HITACHI ZX 210 LC 332-054,Excavator Long arm,AB,WS-PERBAIKAN UNIT,332-054 GANTI AS PIN BUCKET,3.0
KUMAI,Aug,2026-08-08,641104127200532 115,272-005,272005,ARM ROLL HINO 136 HDX 272-005,Arm Roll,TR,WS-PERBAIKAN UNIT,272-005 INSTAL PUMP HYD,14.0
KUMAI,Aug,2026-08-08,641104132200832 155,322-008,322008,CRAWLER DUMPER PD5000TA 322-008,Crawler,AB,WS-PERBAIKAN UNIT,322-008 PASANG NUT ROLLER,4.0
KUMAI,Aug,2026-08-08,641104132202932 075,322-029,322029,CRAWLER DUMPER PD-5000 322-029,Crawler,AB,WS-PERBAIKAN UNIT,322-029 PERBAIKAN UNIT MASUK ANGIN,4.0
KUMAI,Aug,2026-08-08,641104142200432 075,422-004,,,,,WS-PERBAIKAN UNIT,422-004 RUNNING UNIT PONTON,10.0
KUMAI,Aug,2026-08-08,641104132202532 075,322-025,322025,CRAWLER DUMPER PD-5000 322-025,Crawler,AB,WS-PERBAIKAN UNIT,322-025 PERBAIKAN PACKING RADIATOR,4.0
KUMAI,Aug,2026-08-08,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 RUNNING UNIT PONTON,10.0
KUMAI,Aug,2026-08-08,641104133203132 155,332-031,332031,EXCAVATOR HITACHI ZX130-5G 332-031,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-031 PASANG TRACK,8.0
KUMAI,Aug,2026-08-08,641104125400632 075,254-006,254006,DUMP TRUCK ISUZU NPS 81 254-006,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-006 PERBAIKAN TURBO,6.0
KUMAI,Aug,2026-08-08,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 RUNNING UNIT PONTON,2.0
KUMAI,Aug,2026-08-08,641104125400332 075,254-003,254003,DUMP TRUCK ISUZU NPS 254-003,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-003 PENGECEKAN COOLING SISTEM,3.0
KUMAI,Aug,2026-08-08,641104132100732 075,321-007,321007,FARM TRACTOR KUBOTA M9540 321-007,FT,AB,WS-PERBAIKAN UNIT,321-007 PASANG TANGKI BBM KE UNIT,6.0
KUMAI,Aug,2026-08-08,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 RUNNING UNIT PONTON ISI PARIT CR,2.0
KUMAI,Aug,2026-08-08,641104127200632 165,272-006,272006,ARMROLL 4X4 272-006,Arm Roll,TR,WS-PERBAIKAN UNIT,272-006 GANTI BAN BELAKANG,4.0
KUMAI,Aug,2026-08-08,641104125106132 055,251-061,251061,DUMP TRUCK HINO 136 HDX DA 8707 JL 251-061,DT Hino,TR,WS-PERBAIKAN UNIT,251-061 LEPAS AS PENDEK,10.5
KUMAI,Aug,2026-08-09,641104133205732 075,332-057,332057,EXCAVATOR HITACHI ZX 210 332-057,Excavator All in,AB,WS-PERBAIKAN UNIT,332-057 KURAS TANGKI BBM,6.0
KUMAI,Aug,2026-08-09,641104142200432 075,422-004,,,,,WS-PERBAIKAN UNIT,422-004 RUNNING UNIT PONTON,5.0
KUMAI,Aug,2026-08-09,641104125400632 145,254-006,254006,DUMP TRUCK ISUZU NPS 81 254-006,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-006 GANTI KAMPAS KOPLING,21.0
KUMAI,Aug,2026-08-09,641104125106132 055,251-061,251061,DUMP TRUCK HINO 136 HDX DA 8707 JL 251-061,DT Hino,TR,WS-PERBAIKAN UNIT,251-061 GANTI AS PENDEK,12.0
KUMAI,Aug,2026-08-09,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 RUNNING UNIT PONTON,5.0
KUMAI,Aug,2026-08-09,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 RUNNINGUNIT PONTON,6.0
KUMAI,Aug,2026-08-09,641104127200132 145,272-001,272001,ARM ROLL ISUZU NPS 81 272-001,Arm Roll,TR,WS-PERBAIKAN UNIT,272-001 GANTI PERSNELING DAN LAS DUDUK,1.0
KUMAI,Aug,2026-08-09,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 RUNNING UNIT PONTON,10.0
KUMAI,Aug,2026-08-09,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 PERBAIKAN UNIT MASUK ANGIN,3.0
KUMAI,Aug,2026-08-09,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 PERBAIKAN SELANG RADIATOR,1.0
KUMAI,Aug,2026-08-09,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 RUNNING UNIT PONTON,11.0
KUMAI,Aug,2026-08-09,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 LANJUT RUNNING UNIT PONTON,4.5
KUMAI,Aug,2026-08-09,641104142200232 075,422-002,,,,,WS-PERBAIKAN UNIT,422-002 LANJUT RUNNING UNIT PONTON,5.5
KUMAI,Aug,2026-08-09,641104132202532 115,322-025,322025,CRAWLER DUMPER PD-5000 322-025,Crawler,AB,WS-PERBAIKAN UNIT,322-025 STEL REMBESAN STERING,6.0
KUMAI,Aug,2026-08-09,641104132203032 075,322-030,322030,CRAWLER DUMPER PD-5000 322-030,Crawler,AB,WS-PERBAIKAN UNIT,322-030 CEK UNIT BUNYI SUARA KASAR,2.0
KUMAI,Aug,2026-08-09,641104132201632 145,322-016,322016,CRAWLER DUMPER PD5000TA 322-016,Crawler,AB,WS-PERBAIKAN UNIT,322-016 PENGECEKAN TRANSMISI UNIT,4.0
KUMAI,Aug,2026-08-10,641104132100731 075,321-007,321007,FARM TRACTOR KUBOTA M9540 321-007,FT,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,321-007 SERVICE BERKALA UNIT,5.0
KUMAI,Aug,2026-08-10,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 RUNNING UNIT PONTON,10.0
KUMAI,Aug,2026-08-10,641104132202932 075,322-029,322029,CRAWLER DUMPER PD-5000 322-029,Crawler,AB,WS-PERBAIKAN UNIT,322-029 PERBAIKAN UNIT MASUK ANGIN,3.0
KUMAI,Aug,2026-08-10,641104127200532 115,272-005,272005,ARM ROLL HINO 136 HDX 272-005,Arm Roll,TR,WS-PERBAIKAN UNIT,272-005 PROGRES PELEPASAN CV,2.0
KUMAI,Aug,2026-08-10,641104132201432 075,322-014,322014,CRAWLER DUMPER PD5000TA 322-014,Crawler,AB,WS-PERBAIKAN UNIT,322-014 PENGELASAN KNALPOT,1.0
KUMAI,Aug,2026-08-10,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 RUNNING UNIT PONTON,5.0
KUMAI,Aug,2026-08-10,641104125400832 135,254-008,254008,DUMP TRUCK HINO 130 HD 4X4 254-008,DT Hino,TR,WS-PERBAIKAN UNIT,254-008 GANTI SPRING PATAH,5.0
KUMAI,Aug,2026-08-10,641104132201832 145,322-018,322018,CRAWLER DUMPET PD-5000 TA 322-018,Crawler,AB,WS-PERBAIKAN UNIT,322-018 CEK KAMPAS KOPLING,5.0
KUMAI,Aug,2026-08-10,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 RUNNING UNIT PONTON,9.0
KUMAI,Aug,2026-08-10,641104127100731 075,271-007,271007,ARMROLL 271-007,Arm Roll,TR,WS-PERBAIKAN DAN MAINTENANCE UNIT,271-007 SERVICE BERKALA UNIT,3.0
KUMAI,Aug,2026-08-10,641104132202532 065,322-025,322025,CRAWLER DUMPER PD-5000 322-025,Crawler,AB,WS-PERBAIKAN UNIT,322-025 PERBAIKAN JALUR YANG TERBAKAR,5.0
KUMAI,Aug,2026-08-10,641104132201632 065,322-016,322016,CRAWLER DUMPER PD5000TA 322-016,Crawler,AB,WS-PERBAIKAN UNIT,322-016 CEK UNIT TIDAK BISA STATER,6.0
KUMAI,Aug,2026-08-10,641104132201632 145,322-016,322016,CRAWLER DUMPER PD5000TA 322-016,Crawler,AB,WS-PERBAIKAN UNIT,322-016 PROGRES PENURUNAN TRANSMISI,3.0
KUMAI,Aug,2026-08-10,641104132202432 145,322-024,322024,CRAWLER DUMPER PD - 5000TA 322-024,Crawler,AB,WS-PERBAIKAN UNIT,322-024 STEL KOPLING TUNGGU JEMPUTAN,2.0
KUMAI,Aug,2026-08-10,641104132201632 145,322-016,322016,CRAWLER DUMPER PD5000TA 322-016,Crawler,AB,WS-PERBAIKAN UNIT,322-016 TURNKAN+BONGKAR TRANSMISI,4.0
KUMAI,Aug,2026-08-10,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 LANJUT RUNNING ENGINE PONTON,10.0
KUMAI,Aug,2026-08-10,641104132202532 115,322-025,322025,CRAWLER DUMPER PD-5000 322-025,Crawler,AB,WS-PERBAIKAN UNIT,322-025 PERBAIKAN REMBESAN KONTROL VALVE,4.0
KUMAI,Aug,2026-08-10,641104125400532 165,254-005,254005,DUMP TRUCK ISUZU NPS 81 254-005,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-005 GANTI HUB,2.5
KUMAI,Aug,2026-08-10,641104125400532 165,254-005,254005,DUMP TRUCK ISUZU NPS 81 254-005,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-005 GANTI HUB,2.0
KUMAI,Aug,2026-08-10,641104132201132 065,322-011,322011,CRAWLER DUMPER PD5000TA 322-011,Crawler,AB,WS-PERBAIKAN UNIT,322-011 UNIT TIDAK BISA STATER,2.0
KUMAI,Aug,2026-08-10,641104133205732 075,332-057,332057,EXCAVATOR HITACHI ZX 210 332-057,Excavator All in,AB,WS-PERBAIKAN UNIT,332-057 PERGANTIAN FUEL FILTER,2.0
KUMAI,Aug,2026-08-10,641104132202632 065,322-026,322026,CRAWLER DUMPER PD-5000 322-026,Crawler,AB,WS-PERBAIKAN UNIT,322-026 CEK UNIT TIDAK BISA STATER,2.0
KUMAI,Aug,2026-08-10,641104132202532 065,322-025,322025,CRAWLER DUMPER PD-5000 322-025,Crawler,AB,WS-PERBAIKAN UNIT,322-025 CEK KONSLET DI REGULATOR,4.0
KUMAI,Aug,2026-08-10,641104132203032 075,322-030,322030,CRAWLER DUMPER PD-5000 322-030,Crawler,AB,WS-PERBAIKAN UNIT,322-030 PROGRES PENURUNAN ENGINE,5.0
KUMAI,Aug,2026-08-10,641104127200532 035,272-005,272005,ARM ROLL HINO 136 HDX 272-005,Arm Roll,TR,WS-PERBAIKAN UNIT,272-005 PERBAIKAN UNIT 272-005,1.0
KUMAI,Aug,2026-08-10,641104142200732 065,422-007,,,,,WS-PERBAIKAN UNIT,422-007 ANALISA UNIT TIDAK BISA STATER,1.5
KUMAI,Aug,2026-08-10,641104132100732 035,321-007,321007,FARM TRACTOR KUBOTA M9540 321-007,FT,AB,WS-PERBAIKAN UNIT,321-007 EVAKUASI UNIT DI DERMAGA TUKS,1.0
KUMAI,Aug,2026-08-11,641104132201331 075,322-013,322013,CARWLER DUMPER PD5000TA 322-013,Crawler,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,322-013 SERVICE BERKALA UNIT,5.0
KUMAI,Aug,2026-08-11,641104132100331 075,321-003,321003,FARM TRACTOR KUBOTA M9540 321-003,FT,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,321-003 SERVICE VERKALA UNIT,6.0
KUMAI,Aug,2026-08-11,641104132202432 115,322-024,322024,CRAWLER DUMPER PD - 5000TA 322-024,Crawler,AB,WS-PERBAIKAN UNIT,322-024 PEMASANGAN HOSE DAN MODIF,4.0
KUMAI,Aug,2026-08-11,641104133204632 155,332-046,332046,EXCAVATOR HITACHI ZX 138 MF-5G 332-046,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-046 RAKIT MOTOR TRAVEL,2.0
KUMAI,Aug,2026-08-11,641104133203132 155,332-031,332031,EXCAVATOR HITACHI ZX130-5G 332-031,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-031 LAS PIN TRACK,6.0
KUMAI,Aug,2026-08-11,641104125400332 135,254-003,254003,DUMP TRUCK ISUZU NPS 254-003,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-003 GANTI SPRING RR RH,5.0
KUMAI,Aug,2026-08-11,641104133203032 075,332-030,332030,EXCAVATOR HITACHI ZX210LC-5G LONGARM 332-030,Excavator Long arm,AB,WS-PERBAIKAN UNIT,332-030 PEMASANGAN RADIATOR OLI COOLER,5.0
KUMAI,Aug,2026-08-11,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 RNNING UNIT PONTON,5.0
KUMAI,Aug,2026-08-11,641104142200732 065,422-007,,,,,WS-PERBAIKAN UNIT,422-007 CEK UNIT TIDAK BISA DI STATERT,6.0
KUMAI,Aug,2026-08-11,641104127200532 115,272-005,272005,ARM ROLL HINO 136 HDX 272-005,Arm Roll,TR,WS-PERBAIKAN UNIT,272-005 MODIFIKASI HANDEL CV,5.0
KUMAI,Aug,2026-08-11,641104132202632 065,322-026,322026,CRAWLER DUMPER PD-5000 322-026,Crawler,AB,WS-PERBAIKAN UNIT,322-026 PEMASANGAN REGULATOR,4.0
KUMAI,Aug,2026-08-11,641104132201432 155,322-014,322014,CRAWLER DUMPER PD5000TA 322-014,Crawler,AB,WS-PERBAIKAN UNIT,322-014 GANTI RUBBER TRACK SEBELAH KIRI,15.0
KUMAI,Aug,2026-08-11,641104132203032 075,322-030,322030,CRAWLER DUMPER PD-5000 322-030,Crawler,AB,WS-PERBAIKAN UNIT,322-030 LAS DUDUKAN KNALPOT,0.5
KUMAI,Aug,2026-08-11,641104133204632 155,332-046,332046,EXCAVATOR HITACHI ZX 138 MF-5G 332-046,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-046 PEMASANGAN MOTOR TRAVEL KE UNIT,7.0
KUMAI,Aug,2026-08-11,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 RUNNING UNIT PONTON,16.0
KUMAI,Aug,2026-08-11,641104125400832 165,254-008,254008,DUMP TRUCK HINO 130 HD 4X4 254-008,DT Hino,TR,WS-PERBAIKAN UNIT,254-008 PENGELASAN BAUT HUB,1.5
KUMAI,Aug,2026-08-11,641104142200432 075,422-004,,,,,WS-PERBAIKAN UNIT,422-004 PERAIKAN INJEKTOR DAN PEMBERSIHA,1.0
KUMAI,Aug,2026-08-11,641104132202632 065,322-026,322026,CRAWLER DUMPER PD-5000 322-026,Crawler,AB,WS-PERBAIKAN UNIT,322-026 GANTI HM PASANG RADIATOR,4.0
KUMAI,Aug,2026-08-11,641104132201132 065,322-011,322011,CRAWLER DUMPER PD5000TA 322-011,Crawler,AB,WS-PERBAIKAN UNIT,322-011 CEK PENGISIAN UNIT,4.0
KUMAI,Aug,2026-08-11,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 LANJUT RUNNING UNIT PONTON,4.0
KUMAI,Aug,2026-08-11,641104125400832 055,254-008,254008,DUMP TRUCK HINO 130 HD 4X4 254-008,DT Hino,TR,WS-PERBAIKAN UNIT,254-008 PENGECEKAN GARDAN,1.0
KUMAI,Aug,2026-08-11,641104125400632 075,254-006,254006,DUMP TRUCK ISUZU NPS 81 254-006,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-006 PERBAIKAN TURBO CHARGER,3.0
KUMAI,Aug,2026-08-11,641104125400832 055,254-008,254008,DUMP TRUCK HINO 130 HD 4X4 254-008,DT Hino,TR,WS-PERBAIKAN UNIT,254-008 PEMBONGKARAN GARDAN,2.0
KUMAI,Aug,2026-08-11,641104125400832 165,254-008,254008,DUMP TRUCK HINO 130 HD 4X4 254-008,DT Hino,TR,WS-PERBAIKAN UNIT,254-008 LANJUT PENGLASAN BAUT HUB,3.0
KUMAI,Aug,2026-08-11,641104132202932 075,322-029,322029,CRAWLER DUMPER PD-5000 322-029,Crawler,AB,WS-PERBAIKAN UNIT,322-029 PERBAIKAN UNIT MASUK ANGIN,2.0
KUMAI,Aug,2026-08-11,641104127200332 035,272-003,272003,ARMROLL HINO 136 HDX 272-003,Arm Roll,TR,WS-PERBAIKAN UNIT,272-003 BUAT LOK BAK BIN,6.0
KUMAI,Aug,2026-08-12,641104133204232 075,332-042,332042,EXCAVATOR HITACHI ZX138 M-F 332-042,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-042 LAS PEN TRACK LINK,12.0
KUMAI,Aug,2026-08-12,641104132201832 145,322-018,322018,CRAWLER DUMPET PD-5000 TA 322-018,Crawler,AB,WS-PERBAIKAN UNIT,322-018 GANTI RELEASE BEARING,10.0
KUMAI,Aug,2026-08-12,641104142200232 075,422-002,,,,,WS-PERBAIKAN UNIT,422-002 RUNNING UNIT PONTON,7.0
KUMAI,Aug,2026-08-12,641104136100832 075,361-008,361008,BACKHOE LOADER CAT 416 F2 361-008,TLB,AB,WS-PERBAIKAN UNIT,361-008 RAKIT ENGINE,5.0
KUMAI,Aug,2026-08-12,661204000000095 080,,,,,,WS-PERBAIKAN UNIT,1-TARIK MOBIL BAWA KE WS BKMS,3.0
KUMAI,Aug,2026-08-12,641104142200632 075,422-006,,,,,WS-PERBAIKAN UNIT,422-006 RUNNING UNIT PONTON,11.0
KUMAI,Aug,2026-08-12,641104125400732 135,254-007,254007,DUMP TRUCK HINO 130 HD 4X4 254-007,DT Hino,TR,WS-PERBAIKAN UNIT,254-007 PERBAIKAN SEPRING PATAH DEPAN,5.0
KUMAI,Aug,2026-08-12,641104125400932 075,254-009,254009,DUMP TRUCK ISUZU NKR 71  B 9853 BDG 254-009,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-009 PASANG WATER SPARATOR,7.0
KUMAI,Aug,2026-08-12,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 RUNNING UNIT PONTON,5.0
KUMAI,Aug,2026-08-12,641104136101232 035,361-012,361012,BACKHOE LOADER CATERPILLAR 416 F 361-012,TLB,AB,WS-PERBAIKAN UNIT,361-012 PERBAIKAN PEN TUTUP GARDAN,11.0
KUMAI,Aug,2026-08-12,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 RUNNING UNIT PONTON,11.0
KUMAI,Aug,2026-08-12,641104132201132 065,322-011,322011,CRAWLER DUMPER PD5000TA 322-011,Crawler,AB,WS-PERBAIKAN UNIT,322-011 PERBAIKAN UNITTIDAK BISA STATER,5.0
KUMAI,Aug,2026-08-12,641104133204332 035,332-043,332043,EXCAVATOR HITACHI ZX138 M-F 332-043,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-043 LAS PEN BUCKET,6.0
KUMAI,Aug,2026-08-12,641104142200432 075,422-004,,,,,WS-PERBAIKAN UNIT,422-004 PELEPASAN NOZEL UNIT,1.0
KUMAI,Aug,2026-08-12,641104132201832 075,322-018,322018,CRAWLER DUMPET PD-5000 TA 322-018,Crawler,AB,WS-PERBAIKAN UNIT,322-018 PENGELASAN KNALPOT,2.0
KUMAI,Aug,2026-08-12,641104142200832 075,422-008,,,,,WS-PERBAIKAN UNIT,422-008 LANJUT RUNNING UNIT PONTON,4.0
KUMAI,Aug,2026-08-12,641104132201132 145,322-011,322011,CRAWLER DUMPER PD5000TA 322-011,Crawler,AB,WS-PERBAIKAN UNIT,322-011 PASANG VANBELT TRANSMISI LEPAS,6.0
KUMAI,Aug,2026-08-12,661204000000095 080,,,,,,WS-PERBAIKAN UNIT,1-BANTU PASANG KACA UNIT,4.0
KUMAI,Aug,2026-08-12,641104127200232 075,272-002,272002,ARM ROLL ISUZU NPS 81 272-002,Arm Roll,TR,WS-PERBAIKAN UNIT,272-002 PASANG WATER SPARATOR,3.0
KUMAI,Aug,2026-08-12,641104142200332 075,422-003,,,,,WS-PERBAIKAN UNIT,422-003 RUNNING UNIT PONTON,1.0
KUMAI,Aug,2026-08-12,641104125400432 075,254-004,254004,DUMP TRUCK ISUZU NPS 81 254-004,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-004 MODIF MUFLER UNIT,2.0
KUMAI,Aug,2026-08-12,641104136100832 075,361-008,361008,BACKHOE LOADER CAT 416 F2 361-008,TLB,AB,WS-PERBAIKAN UNIT,361-008 LANJUT RAKIT ENGINET,4.5
KUMAI,Aug,2026-08-12,641104142200332 075,422-003,,,,,WS-PERBAIKAN UNIT,422-003 RUNNING UNIT PONTON,0.5
KUMAI,Aug,2026-08-12,661204000000095 080,,,,,,WS-PERBAIKAN UNIT,1- PENGUKURAN KACA DEPAN UNIT,2.0
KUMAI,Aug,2026-08-12,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 LAS DUDUKAN ENGINE,5.0
KUMAI,Aug,2026-08-12,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 BANTU RUNNING UNIT PONTON,1.0
KUMAI,Aug,2026-08-12,641104132201832 075,322-018,322018,CRAWLER DUMPET PD-5000 TA 322-018,Crawler,AB,WS-PERBAIKAN UNIT,322-018 CEK UNIT OVER HEAD,4.0
KUMAI,Aug,2026-08-12,641104132201132 145,322-011,322011,CRAWLER DUMPER PD5000TA 322-011,Crawler,AB,WS-PERBAIKAN UNIT,322-011 CEK VANBELT TRANSMISI PUTUS,1.0
KUMAI,Aug,2026-08-12,641104125400632 035,254-006,254006,DUMP TRUCK ISUZU NPS 81 254-006,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-006 STEL VAKUM EGR,3.0
KUMAI,Aug,2026-08-12,641104142200732 075,422-007,,,,,WS-PERBAIKAN UNIT,422-007 RUNNING UNIT PONTON,3.0
KUMAI,Aug,2026-08-12,641104127200232 145,272-002,272002,ARM ROLL ISUZU NPS 81 272-002,Arm Roll,TR,WS-PERBAIKAN UNIT,272-002 CEK UNIT TIDAK BISA NETRAL,3.0
KUMAI,Aug,2026-08-13,641104132201232 075,322-012,322012,CRAWLER DUMPER PD5000TA 322-012,Crawler,AB,WS-PERBAIKAN UNIT,322-012 PERBAIKAN UNIT OVER HEAD,12.0
KUMAI,Aug,2026-08-13,641104127200532 035,272-005,272005,ARM ROLL HINO 136 HDX 272-005,Arm Roll,TR,WS-PERBAIKAN UNIT,272-005 PERBAIKAN JACK LANDING,6.0
KUMAI,Aug,2026-08-13,641104133204632 085,332-046,332046,EXCAVATOR HITACHI ZX 138 MF-5G 332-046,Excavator ZX-130,AB,WS-PERBAIKAN UNIT,332-046 PERBAIKAN FINAL DRIVE UNIT,2.0
KUMAI,Aug,2026-08-13,641104127200232 145,272-002,272002,ARM ROLL ISUZU NPS 81 272-002,Arm Roll,TR,WS-PERBAIKAN UNIT,272-002 LEPAS PTO TIDAK BISA NETRAL,10.0
KUMAI,Aug,2026-08-13,641104125400332 035,254-003,254003,DUMP TRUCK ISUZU NPS 254-003,Isuzu Elf,TR,WS-PERBAIKAN UNIT,254-003 PERGANTIAN BOLT DILAHAN,3.0
