lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
BUHUT,Aug,2026-08-04,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,1.0
BUHUT,Aug,2026-08-04,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,332-055   LAS LOCK PIPA RH,3.0
BUHUT,Aug,2026-08-04,641106233205232 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-052   MENGENCANGKAN BOLT COVER,1.0
BUHUT,Aug,2026-08-05,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   GREASING,1.5
BUHUT,Aug,2026-08-05,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,332-055   GANTI CHISEL,2.0
BUHUT,Aug,2026-08-05,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   GREASING,1.0
BUHUT,Aug,2026-08-05,641106233203831 115,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   TAMBAH OLI 10,1.0
BUHUT,Aug,2026-08-05,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   PASANG LOCK HOSE PIPA & PENAMB,3.0
BUHUT,Aug,2026-08-05,641106233204531 115,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   TAMBAH OLI 10,1.0
BUHUT,Aug,2026-08-05,641106233205932 035,332-059,332059,EXCAVATOR KOMATSU PC210 332-059,Excavator Bucket,AB,WS-PERBAIKAN UNIT,332-059   GANTI KUKU BUCKET,8.0
