tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,tipe_biaya,nama_unit,biaya,keterangan
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX33U-5A 331-002,14000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX 210 F-5G 332-041,200000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,BULLDOZER CAT D6G DC-11 342-004,510000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX 210 F-5G 332-041,168000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,BACKHOE LOADER CATTERPILLAR 426F2 361-010,350000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,GRADER XCMG GR-135 351-015,4000000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,BRAKE SYSTEM,SPAREPART,TRUCK TANGKI HINO FG 235 DA 8171 CR 262-006,1136000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,TRUCK TANGKI HINO 130 HD DA 9526 CI/DA 8013 CM 261-007,20000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8207 CF 251-035,10000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8921 CV 251-048,10000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8925 CV 251-050,10000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8012 CZ 251-051,250000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,TRAILER MITSUBISHI FV 419P DA 9295 CC 311-002,240000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8014 CZ 251-053,30000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8921 CV 251-048,30000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,DUMP TRUCK HINO 130 HD DA 8014 CZ 251-053,40000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,DUMPTRUCK 136 HDX 251-063,40000.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,UNDERCARRIAGE SYSTEM,SPAREPART,BULLDOZER WEA B 220 342-012,225230.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
