id_unit,lokasi,bulan,nama_unit,kode_unit,kelompok_unit,Jenis_Sarmut,kategori,jenis_unit,unit_sewa,availability_pct,availability_target,utilisasi_pct,utilisasi_target,downtime_pct,downtime_target,source_file,efektif_hm_km_realisasi,standby_hm_km_realisasi,breakdown_hm_km_realisasi,tersedia_hm_km_realisasi,hm_km_ideal_target
332045,BUHUT,Apr,EXCAVATOR HITACHI ZX 210 F-5G 332-045,332-045,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,95.39,85.0,55.89,95.0,4.61,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",186.6000000000004,147.24999999999963,16.150000000000002,333.85,350.0
332045,BUHUT,Feb,EXCAVATOR HITACHI ZX 210 F-5G 332-045,332-045,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,85.09,85.0,64.67,95.0,14.91,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",192.6000000000004,105.19999999999963,52.2,297.8,350.0
332045,BUHUT,Jan,EXCAVATOR HITACHI ZX 210 F-5G 332-045,332-045,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,92.74,85.0,74.86,95.0,7.26,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",243.0,81.6,25.4,324.6,350.0
332045,BUHUT,Jun,EXCAVATOR HITACHI ZX 210 F-5G 332-045,332-045,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,91.07,85.0,51.48,95.0,8.93,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",164.09999999999854,154.65000000000146,31.25,318.75,350.0
332045,BUHUT,Mar,EXCAVATOR HITACHI ZX 210 F-5G 332-045,332-045,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,97.09,85.0,78.66,95.0,2.91,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",267.2999999999993,72.50000000000072,10.2,339.8,350.0
332045,BUHUT,May,EXCAVATOR HITACHI ZX 210 F-5G 332-045,332-045,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,97.09,85.0,40.94,95.0,2.91,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",139.1,200.7,10.2,339.8,350.0
332052,BUHUT,Apr,EXCAVATOR HITACHI ZX 210G-5G 332-052,332-052,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,96.43,85.0,62.25,95.0,3.57,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",210.1000000000004,127.39999999999964,12.5,337.5,350.0
332052,BUHUT,Feb,EXCAVATOR HITACHI ZX 210G-5G 332-052,332-052,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,97.46,85.0,83.55,95.0,2.54,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",285.0,56.1,8.9,341.1,350.0
332052,BUHUT,Jan,EXCAVATOR HITACHI ZX 210G-5G 332-052,332-052,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,97.91,85.0,98.63,95.0,2.09,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",338.0,4.7,7.3,342.7,350.0
332052,BUHUT,Jun,EXCAVATOR HITACHI ZX 210G-5G 332-052,332-052,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,98.77,85.0,68.85,95.0,1.23,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",238.0,107.7,4.3,345.7,350.0
332052,BUHUT,Mar,EXCAVATOR HITACHI ZX 210G-5G 332-052,332-052,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,97.59,85.0,82.83,95.0,2.41,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",282.89999999999964,58.65000000000036,8.45,341.55,350.0
332052,BUHUT,May,EXCAVATOR HITACHI ZX 210G-5G 332-052,332-052,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 20 Ton,False,99.86,85.0,63.75,95.0,0.14,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",222.8,126.7,0.5,349.5,350.0
332055,BUHUT,Apr,EXCAVATOR HITACHI ZX350H-5G 332-055,332-055,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 30 Ton,False,98.1,85.0,64.92,95.0,1.9,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",222.9000000000001,120.4499999999999,6.65,343.35,350.0
332055,BUHUT,Feb,EXCAVATOR HITACHI ZX350H-5G 332-055,332-055,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 30 Ton,False,99.34,85.0,83.61,95.0,0.66,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",290.6999999999998,57.000000000000185,2.3,347.7,350.0
332055,BUHUT,Jan,EXCAVATOR HITACHI ZX350H-5G 332-055,332-055,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 30 Ton,False,99.71,85.0,96.59,95.0,0.29,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",337.0999999999999,11.900000000000093,1.0,349.0,350.0
332055,BUHUT,Jun,EXCAVATOR HITACHI ZX350H-5G 332-055,332-055,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 30 Ton,False,99.3,85.0,83.44,95.0,0.7,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",290.0,57.55,2.45,347.55,350.0
332055,BUHUT,Mar,EXCAVATOR HITACHI ZX350H-5G 332-055,332-055,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 30 Ton,False,98.06,85.0,80.68,95.0,1.94,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",276.9000000000001,66.29999999999991,6.800000000000001,343.2,350.0
332055,BUHUT,May,EXCAVATOR HITACHI ZX350H-5G 332-055,332-055,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Breaker 30 Ton,False,98.6,85.0,54.1,95.0,1.4,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",186.7,158.4,4.9,345.1,350.0
332039,BUHUT,Apr,EXCAVATOR HITACHI ZX 210 F-5G 332-039,332-039,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,94.9,85.0,75.45,95.0,5.1,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",143.1999999999989,46.60000000000109,10.2,189.8,200.0
332039,BUHUT,Feb,EXCAVATOR HITACHI ZX 210 F-5G 332-039,332-039,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,100.0,85.0,100.0,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",200.0,0.0,0.0,200.0,200.0
332039,BUHUT,Jan,EXCAVATOR HITACHI ZX 210 F-5G 332-039,332-039,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,100.0,85.0,122.0,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",244.0,0.0,0.0,200.0,200.0
332039,BUHUT,Jun,EXCAVATOR HITACHI ZX 210 F-5G 332-039,332-039,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,96.35,85.0,100.0,95.0,3.65,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",192.7000000000008,-7.27418125734403e-13,7.3,192.7,200.0
332039,BUHUT,Mar,EXCAVATOR HITACHI ZX 210 F-5G 332-039,332-039,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,90.9,85.0,99.5,95.0,9.1,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",180.89999999999964,0.9000000000003645,18.2,181.8,200.0
332039,BUHUT,May,EXCAVATOR HITACHI ZX 210 F-5G 332-039,332-039,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,98.3,85.0,74.62,95.0,1.7,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",146.7,49.90000000000001,3.4,196.6,200.0
332050,BUHUT,Apr,EXCAVATOR SHANTUI SE 215 W 332-050,332-050,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,0.0,85.0,0.0,95.0,100.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",0.0,0.0,100.0,0.0,100.0
332050,BUHUT,Feb,EXCAVATOR SHANTUI SE 215 W 332-050,332-050,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,0.0,85.0,0.0,95.0,100.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",0.0,0.0,100.0,0.0,100.0
332050,BUHUT,Jan,EXCAVATOR SHANTUI SE 215 W 332-050,332-050,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,0.0,85.0,0.0,95.0,100.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",0.0,0.0,100.0,0.0,100.0
332050,BUHUT,Jun,EXCAVATOR SHANTUI SE 215 W 332-050,332-050,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,0.0,85.0,0.0,95.0,100.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",0.0,0.0,100.0,0.0,100.0
332050,BUHUT,Mar,EXCAVATOR SHANTUI SE 215 W 332-050,332-050,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,0.0,85.0,0.0,95.0,100.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",0.0,0.0,100.0,0.0,100.0
